Temperatura Servicio,vajilla,descripcion,maridaje,graduacion,lupulo_afrutado_citrico,lupulo_floral_herbal,amargor,color,maltoso,licoroso,afrutado,especias,acidez
8-14º,goblet,Cerveza trapense y la más alcohólica de la Abadía de Rochefort.,"Queso azul, estofados, tarta de queso fuerte con frutos rojos y chocolate.",11.3,,,2.4,4.7,1.8,2.9,1.3,0.5,
8-14º,goblet,Trapense de color rojo pardusco típico de los viejos vinos de Borgoña.,"Chocolate, postres con café y carnes fritas.",7.5,,,2.3,1.4,1,1.6,1.4,0.6,0.4
8-14º,goblet,"Trapense, está hecha de materias primas cuidadosamente seleccionadas.",Comidas especiadas y quesos grasos.,9.2,,,2.3,2.7,2.3,2.3,1.5,0.8,0.3
8-14º,tulip,La única cerveza estadounidense trapense en el mundo.,Comidas especiadas y quesos grasos.,6.5,1,,2.5,1,1.3,0.5,1.8,1.3,0.5
8-14º,goblet,La única cerveza estadounidense trapense en el mundo.,"Queso azul, estofados, tarta de queso fuerte con frutos rojos y chocolate.",9,0.5,0.5,2.4,3.4,1.9,2.5,1.1,1.5,
8-14º,goblet,Abbey Ale estilo clásico Cuádruple de la mejor Abbey Ales de Bélgica.,"Queso azul, estofados, tarta de queso fuerte con frutos rojos y chocolate.",10,1,1,2.2,3.8,0.8,2.2,0.5,,0.3
8-14º,goblet,"Estilo abadía tradicional, muy afrutada, con un ligero amargor.","Chocolate, postres con café y carnes fritas",6.7,,,2,3.8,1.2,0.7,,,0.4
8-14º,goblet,"Abadía tradicional estilo ""Dubbel""  belga de olor rubí.","Chocolate, postres con café y carnes fritas",8,,0.3,1.8,3.6,1.2,1.4,1,,0.3
8-14º,goblet,"Abadía tradicional estilo ""Triple"" belga de color ámbar.",Comidas especiadas y quesos grasos.,8,,,2,0.7,0.7,0.8,1.1,0.7,0.4
8-14º,tulip,"Abadía distingue claramente la influencia del lúpulo aromático, afrutada.",Comidas especiadas y quesos grasos.,7.5,1.3,0.4,2.2,0.6,,0.8,1.3,2.6,0.6
8-14º,goblet,Abadía Triple  se presenta en un color ámbar pálido muy maltosa.,Comidas especiadas y quesos grasos.,8.5,1.3,0.4,2.6,0.5,0.3,0.4,1.2,1.7,0.7
8-14º,goblet,Uno de los grandes clásicos. La receta utilizada sería la misma desde 1679.,Comidas especiadas y quesos grasos.,8.4,1.3,2.1,2.6,0.6,0.4,1.3,1.3,,0.4
8-14º,goblet,Elaborada antiguamente con el doble de materias primas.,"Embutidos, carnes rojas y asados.",7,,0.3,2.5,4.5,1.7,2.2,1,,0.3
8-14º,goblet,Una de las cervezas trapenses más complejas que existen.,"Pescados a la parrilla, carnes blancas y guisos.",9.5,1.4,2.1,2.8,0.7,0.6,1.8,1.6,,0.6
8-14º,goblet,Trapense diseñada por la más pequeña de las abadías en Flandes.,Estofados y postres fuertes.,10.2,,,2.4,4.7,1.8,2.4,,,
8-14º,goblet,"Cerveza trapense de color dorado, mundialmente reconocida por su rareza.",Ensaladas y carnes blancas.,5.8,0.4,1.3,2.3,0.5,0.3,0.3,1,1.5,0.3
8-14º,goblet,Conocida en todo el mundo por su calidad y rareza.,Platos intensos y postres.,8,,,2.6,4.1,1,1.7,0.6,0.6,0.4
8-14º,goblet,Preparada bajo el control de monjes trapenses.,"Platos de carne, guisos, tabla de quesos.",8,,,2.5,2.2,1.6,1.5,1.1,0.6,
8-14º,tulip,Ganó la Medalla de Platino en el Campeonato Mundial de Chicago.,"Sushi, ceviche, queso de cabra o feta.",6,,0.8,1.9,1,1.3,1,1.5,,0.5
8-14º,tulip,"Aromas muy afrutados, cítricos, especias y alguna nota láctica.","Sushi, ceviche, queso de cabra o feta.",4.5,0.2,0.8,1.4,0.4,0.3,1,1.5,2,1.5
8-14º,tulip,Cerveza de trigo tostado y de alta fermentación con todo el frescor de los frutos y las esencias cítricas del cilantro y clavo.,"Sushi, ceviche, queso de cabra o feta.",6,,1.1,1.8,0.3,0.7,0.3,1.5,2.4,1.4
8-14º,tulip,Belga blanca que se encuentra entre las más conocidas.,"Sushi, ceviche, queso de cabra o feta.",4.9,,0.2,1.8,0.5,0.7,,1.7,2.3,0.5
8-14º,tulip,"Witbier belga, en los aromas destacan el cilantro y la naranja.","Sushi, ceviche, queso de cabra o feta.",5.5,0.6,0.8,1.9,0.6,0.8,0.4,2,1.5,0.9
8-14º,goblet,"Mezcla de Lambics  de uno, dos y tres años de maduración en barricas de roble.",Mariscos y queso de cabra.,6,,,1.6,0.9,,0.4,,3.3,3.5
8-14º,goblet,Cerveza de tipo Gueuze que proviene directamente de Bélgica.,Mariscos y queso de cabra.,7,,,1.4,1.2,,0.5,0.8,2.4,3.3
8-14º,tulip,Gueuze mezcla de varios Lambics con una segunda fermentación en la botella.,"Sushi, ceviche, queso de cabra o feta.",5.5,,0.5,1.8,0.7,,0.4,0.7,1.5,3.2
8-14º,tulip,La cerveza de frutas de mayor fama.,"Queso de cabra, ceviche y ensaladas.",5.5,,0.3,1.3,1.6,,0.5,1.5,1.8,4
8-14ºC,tulip,Cerveza Lambic de fermentación espontánea con zumo de frambuesas.,"Queso de cabra, ceviche y ensaladas.",5,,,1.4,1.1,,,2.6,0.7,2.4
8-14º,tulip,Recibe frutas antes de ser sometida a envejecimiento en barricas de roble.,Ceviche y tarta de queso.,3.5,,,1.6,2,0.4,,3.4,,2.1
8-14º,tulip,"Cuerpo de color rojo anaranjado, rematado por una fina corona blanca.","Quesos, ensaladas y postres.",4.2,,,1.4,1.5,0.8,,1.7,2.2,3.2
8-14º,tulip,Resultado de una fermentación espontánea con zumo de frambuesas.,Ceviche y tarta de queso.,2.5,,,1.3,3.1,,,3.1,0.9,2.6
